country,year,GDP,life_expectancy,pop,decade,region
Kiribati,1801,551,24.9,17876,1800,East Asia & Pacific
North Korea,1801,578,26,4345000,1800,NA
South Korea,1801,575,25.8,9395000,1800,NA
"United Korea (former)
",1801,NA,NA,NA,NA,NA
Kosovo,1801,NA,NA,NA,1800,Europe & Central Asia
Kuwait,1801,1101,26,81280,1800,Middle East & North Africa
Kyrgyz Republic,1801,508,23.941,530343,1800,NA
Lao,1801,865,31.9,470000,1800,NA
Latvia,1801,752,33,590588,1800,Europe & Central Asia
Lebanon,1801,1082,29.7,332000,1800,Middle East & North Africa
Lesotho,1801,393,32.8,276361,1800,Sub-Saharan Africa
Liberia,1801,797,31.1,313543,1800,Sub-Saharan Africa
Libya,1801,1050,33.1,531472,1800,Middle East & North Africa
Liechtenstein,1801,NA,NA,5802,1800,Europe & Central Asia
Lithuania,1801,1271,28.9,778655,1800,Europe & Central Asia
Luxembourg,1801,1453,36.9,127030,1800,Europe & Central Asia
"Macao, China",1801,992,34.7,17311,1800,East Asia & Pacific
"Macedonia, FYR",1801,690,36.1,391865,1800,Europe & Central Asia
Madagascar,1801,573,30.5,1543133,1800,Sub-Saharan Africa
Malawi,1801,350,30.3,737000,1800,Sub-Saharan Africa
Malaysia,1801,997,30.6,287000,1800,East Asia & Pacific
Maldives,1801,843,32.647,42378,1800,South Asia
Mali,1801,603,26.408,1403398,1800,Sub-Saharan Africa
Malta,1801,782,28.7,134072,1800,Europe & Central Asia
Marshall Islands,1801,539,NA,5828,1800,East Asia & Pacific
Martinique,1801,NA,30.153,84039,1800,America
Mauritania,1801,528,32,382696,1800,Sub-Saharan Africa
Mauritius,1801,940,28.7,62865,1800,Sub-Saharan Africa
Mayotte,1801,NA,32.5,8219,1800,Sub-Saharan Africa
Mexico,1801,1379,26.9,6181708,1800,America
"Micronesia, Fed. Sts.",1801,518,26.7,16416,1800,East Asia & Pacific
Moldova,1801,621,33.145,712558,1800,Europe & Central Asia
Monaco,1801,1950,NA,7789,1800,Europe & Central Asia
Mongolia,1801,592,31.8,619000,1800,East Asia & Pacific
Montenegro,1801,1058,35.4,126582,1800,Europe & Central Asia
Montserrat,1801,NA,NA,5230,1800,America
Morocco,1801,715,33.1,2503218,1800,Middle East & North Africa
Mozambique,1801,391,30.2779866666667,1982324,1800,Sub-Saharan Africa
Myanmar,1801,840,30.8,3506000,1800,East Asia & Pacific
Namibia,1801,540,32.4,229000,1800,Sub-Saharan Africa
Nauru,1801,554,NA,1834,1800,East Asia & Pacific
Nepal,1801,654,32.8,3881000,1800,South Asia
Netherlands,1801,4161,39.86,2254522,1800,Europe & Central Asia
Netherlands Antilles,1801,NA,34.408,NA,1800,America
New Caledonia,1801,NA,26,29432,1800,East Asia & Pacific
New Zealand,1801,659,34.05,1e+05,1800,East Asia & Pacific
Ngorno-Karabakh,1801,NA,NA,NA,1800,Europe & Central Asia
Nicaragua,1801,973,25.4,219387,1800,America
Niger,1801,446,30.8,1244861,1800,Sub-Saharan Africa
Nigeria,1801,853,30.4,12100855,1800,Sub-Saharan Africa
Niue,1801,NA,NA,4538,1800,East Asia & Pacific
Norfolk Island,1801,NA,NA,NA,1800,East Asia & Pacific
Northern Cyprus,1801,NA,NA,NA,1800,Europe & Central Asia
Northern Mariana Islands,1801,NA,NA,3360,1800,East Asia & Pacific
Norway,1801,1280,35.8192129050991,868570,1800,Europe & Central Asia
Oman,1801,916,32.3,318000,1800,Middle East & North Africa
Pakistan,1801,1021,25.8,13123633,1800,South Asia
Palau,1801,839,NA,3875,1800,East Asia & Pacific
Panama,1801,847,32.9,78842,1800,America
Papua New Guinea,1801,546,31.5,754894,1800,East Asia & Pacific
Paraguay,1801,835,35.5,143000,1800,America
Peru,1801,1204,35.7,1314151,1800,America
Philippines,1801,962,30.9,1894389,1800,East Asia & Pacific
Pitcairn,1801,NA,NA,NA,1800,East Asia & Pacific
Poland,1801,1217,35.9,9508747,1800,Europe & Central Asia
Portugal,1801,1685,35.6,3033454,1800,Europe & Central Asia
Puerto Rico,1801,1375,30.43,155000,1800,America
Qatar,1801,1101,30.8,14092,1800,Middle East & North Africa
Reunion,1801,NA,33,92744,1800,Sub-Saharan Africa
Romania,1801,816,35.7,5464085,1800,Europe & Central Asia
Russia,1801,1432,29.5734571976521,31088398,1800,Europe & Central Asia
Rwanda,1801,432,25,928368,1800,Sub-Saharan Africa
St. Barthélemy,1801,NA,NA,NA,1800,NA
St. Helena,1801,NA,NA,1997,1800,NA
St. Kitts and Nevis,1801,1165,NA,17202,1800,NA
St. Lucia,1801,875,28.008,24000,1800,NA
St. Martin,1801,NA,NA,NA,1800,NA
St. Vincent and the Grenadines,1801,838,25.986,25781,1800,NA
St.-Pierre-et-Miquelon,1801,NA,NA,1782,1800,NA
Samoa,1801,1400,25.4,47300,1800,East Asia & Pacific
San Marino,1801,1404,NA,5492,1800,Europe & Central Asia
Sao Tome and Principe,1801,852,31,22731,1800,Sub-Saharan Africa
Saudi Arabia,1801,846,32.1,2091000,1800,Middle East & North Africa
Senegal,1801,497,25.2,1009886,1800,Sub-Saharan Africa
